SYS,seg_id,set_id,metric,score
T5,404f859482d47c127868964a9a39d1a7645dd2e9,288,ROUGE-L,0.3
T5,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ROUGE-L,0.32
T5,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ROUGE-L,0.37499999999999994
T5,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ROUGE-L,0.64
T5,a02e362c5b8f049848ce718b37b96117485461cf,677,ROUGE-L,0.2727272727272727
T5,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ROUGE-L,0.35714285714285715
T5,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ROUGE-L,0.29508196721311475
T5,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ROUGE-L,0.5517241379310345
T5,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ROUGE-L,0.3829787234042553
T5,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ROUGE-L,0.3773584905660377
T5,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ROUGE-L,0.26086956521739135
T5,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ROUGE-L,0.3370786516853933
T5,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ROUGE-L,0.3157894736842105
T5,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ROUGE-L,0.23529411764705885
T5,03e271b4305517e02c9ead82d57327d32b99102e,1253,ROUGE-L,0.21176470588235297
T5,051db270afc32571a08c15124330efe89d80fea8,1310,ROUGE-L,0.406015037593985
T5,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ROUGE-L,0.36170212765957444
T5,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ROUGE-L,0.3809523809523809
T5,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ROUGE-L,0.31481481481481477
T5,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ROUGE-L,0.34146341463414637
T5,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ROUGE-L,0.3269230769230769
T5,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ROUGE-L,0.43010752688172044
T5,14c813567696f4e63a39993c09d4edb454036179,1957,ROUGE-L,0.26804123711340205
T5,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ROUGE-L,0.2758620689655172
T5,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ROUGE-L,0.32653061224489793
T5,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ROUGE-L,0.28037383177570097
T5,18243373494a1722ddcd162ec67b63dd749633ab,2113,ROUGE-L,0.2173913043478261
T5,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,ROUGE-L,0.23448275862068965
T5,2377095dda83df778e34304b7a09813808105d3b,2544,ROUGE-L,0.18823529411764706
T5,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,ROUGE-L,0.31578947368421056
T5,26e4e19d945cedcb489f28808c730658139c9415,2672,ROUGE-L,0.25000000000000006
T5,2a48112ddee712f2364f128076cb2db555a043b1,2802,ROUGE-L,0.2702702702702703
T5,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,ROUGE-L,0.4175824175824176
T5,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,ROUGE-L,0.3356643356643357
T5,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,ROUGE-L,0.38709677419354843
T5,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,ROUGE-L,0.2736842105263158
T5,2cfc33d01364162579f46b2764914a03a29453ce,2926,ROUGE-L,0.21951219512195125
T5,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,ROUGE-L,0.28865979381443296
T5,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,ROUGE-L,0.3209876543209877
T5,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,ROUGE-L,0.31818181818181823
T5,3785743303ddb8b594be7c449a37458b99e83812,3338,ROUGE-L,0.2765957446808511
T5,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,ROUGE-L,0.23931623931623933
T5,4001b252a072ac149c70840b22299cc6cfab3bae,3727,ROUGE-L,0.34920634920634924
T5,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,ROUGE-L,0.41379310344827586
T5,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,ROUGE-L,0.42
T5,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,ROUGE-L,0.3116883116883116
T5,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,ROUGE-L,0.3355704697986577
T5,4fb64a2298e18626db776fccf834be87388827e0,4356,ROUGE-L,0.3548387096774194
T5,54b857a66cbd8473d6732e5da52d48612e636a37,4573,ROUGE-L,0.33962264150943394
T5,5be0a9584b051175d9f4842a143b76385335d96a,4902,ROUGE-L,0.21359223300970875
T5,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,ROUGE-L,0.3023255813953489
T5,6372eff07fd3d6f578f90d6115e01747edccc095,5218,ROUGE-L,0.26666666666666666
T5,6721edf88c95f480a4db2c63649dbb03736aeadf,5369,ROUGE-L,0.23255813953488372
T5,6c1341bedf92a304318545fbf1aad88651de7909,5558,ROUGE-L,0.49275362318840576
T5,6f027d030f9ca86446dc893f1d10ced4c9a3561f,5687,ROUGE-L,0.5
T5,7cba80e83b222801fed8d6f96e8c0aa381c54b28,6221,ROUGE-L,0.29473684210526313
T5,801763443e6c73e3857039f2223798b2b58bef19,6339,ROUGE-L,0.30303030303030304
T5,808a439a5d83fc47baaea934c8779a7ebc62470d,6356,ROUGE-L,0.3116883116883117
T5,81bd721b16cad47dfd8d24baca5b30b006291db2,6403,ROUGE-L,0.23880597014925373
T5,8764fb95bfad8ee849274873a92fb8d6b400eee2,6611,ROUGE-L,0.375
T5,8847383b72167c3f3dd2161b5b091b580c8f4da7,6652,ROUGE-L,0.24561403508771928
T5,8b51a10370a1219137e231192e65b9cd52238ea6,6783,ROUGE-L,0.2894736842105264
T5,8b59fa7715418c4bcc0d50e3caeb239129de453e,6786,ROUGE-L,0.41379310344827586
T5,8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,6802,ROUGE-L,0.3380281690140845
T5,8e6c8aec6808f66ed0342e128a4e146f3ecd627d,6910,ROUGE-L,0.3119266055045872
T5,97bbda7ec22a736cd174b51513c72a6372d13d35,7280,ROUGE-L,0.31496062992125984
T5,998cb27197db1fd299aff3322ac041ba4bf1148f,7348,ROUGE-L,0.2588235294117647
T5,9afda3cde191a883d8c166ceb5765eb53205d8f4,7415,ROUGE-L,0.23728813559322035
T5,9b1af0f993d78353ebd56a1b180e882e751527b3,7418,ROUGE-L,0.30357142857142855
T5,9b5a04b9879fe716a2dcd66dd331f99534603c16,7434,ROUGE-L,0.36000000000000004
T5,9beaaf73e4517d5bf1bc284f386485d571da96cf,7449,ROUGE-L,0.3917525773195876
T5,9d0fcbd873927674d12aafce4ae7754fd591d4e2,7501,ROUGE-L,0.24657534246575344
