SYS,seg_id,set_id,metric,score
Lead-3,404f859482d47c127868964a9a39d1a7645dd2e9,288,ROUGE-L,0.4117647058823529
Lead-3,4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1,327,ROUGE-L,0.37398373983739835
Lead-3,5139ccfabee55ddb83e7937f5802c0a67aee8975,365,ROUGE-L,0.3260869565217391
Lead-3,88c2481234e763c9bbc68d0ab1be1d2375c1349a,580,ROUGE-L,0.4727272727272727
Lead-3,a02e362c5b8f049848ce718b37b96117485461cf,677,ROUGE-L,0.33898305084745767
Lead-3,b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e,748,ROUGE-L,0.3111111111111111
Lead-3,b8b6e729fff27c4eef87887e61d3448de9c063f6,775,ROUGE-L,0.4337349397590361
Lead-3,bcdb32ae644040a721da880fff9c1d502048cd8b,790,ROUGE-L,0.34782608695652173
Lead-3,c05bda9b387ec8ae43803170b6f59b4b82505db9,804,ROUGE-L,0.23008849557522124
Lead-3,d75b043ebefc3098aea84d92bb8bec0f509b1563,892,ROUGE-L,0.30769230769230765
Lead-3,e2bccd4dec93c9bb7b327827dae004c2d494ec31,933,ROUGE-L,0.2448979591836735
Lead-3,e49792c337d3f4c13e22f710efa44cf6a4e59aba,940,ROUGE-L,0.3076923076923077
Lead-3,fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c,1065,ROUGE-L,0.5365853658536585
Lead-3,02c955067d00f38b6978b805d5a8701a787f78ac,1193,ROUGE-L,0.26804123711340205
Lead-3,03e271b4305517e02c9ead82d57327d32b99102e,1253,ROUGE-L,0.20987654320987656
Lead-3,051db270afc32571a08c15124330efe89d80fea8,1310,ROUGE-L,0.3401360544217687
Lead-3,0783c68a744df6afa009d16e72709f2b4d90dea1,1423,ROUGE-L,0.4220183486238532
Lead-3,096e418a953af86df0d1560bec95bc7bfee2e34b,1507,ROUGE-L,0.2727272727272727
Lead-3,0cd10ad50ceef529d96a255ed12ac9cd001ba9db,1631,ROUGE-L,0.41134751773049644
Lead-3,0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b,1633,ROUGE-L,0.3333333333333333
Lead-3,0f0789390d67698283cc87b2e046b5c5cd77edb7,1728,ROUGE-L,0.3548387096774194
Lead-3,130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce,1891,ROUGE-L,0.3548387096774194
Lead-3,14c813567696f4e63a39993c09d4edb454036179,1957,ROUGE-L,0.29906542056074764
Lead-3,155754e1f2bc83f6836af78703edd4d00f19f381,1988,ROUGE-L,0.20512820512820512
Lead-3,1747dcd6a007ee97954b6b10cde549bf82f6a4eb,2067,ROUGE-L,0.3382352941176471
Lead-3,1749a22e2b6facaa057213cb9b33261b319bbd2b,2068,ROUGE-L,0.31775700934579443
Lead-3,18243373494a1722ddcd162ec67b63dd749633ab,2113,ROUGE-L,0.28125
Lead-3,207df192edc1836250b69d1bc5b9e6a38206eb78,2436,ROUGE-L,0.3561643835616438
Lead-3,2377095dda83df778e34304b7a09813808105d3b,2544,ROUGE-L,0.23456790123456792
Lead-3,23e8c1d71474d239aa9ae37b9a05031b0054b8ce,2559,ROUGE-L,0.2716049382716049
Lead-3,26e4e19d945cedcb489f28808c730658139c9415,2672,ROUGE-L,0.2826086956521739
Lead-3,2a48112ddee712f2364f128076cb2db555a043b1,2802,ROUGE-L,0.2708333333333333
Lead-3,2abe0f81f5b22c8a406165717e3bd7fce6fe47c6,2829,ROUGE-L,0.41237113402061853
Lead-3,2c37d44d03ce2e91310339d884d33ee5aabf9abc,2890,ROUGE-L,0.37410071942446044
Lead-3,2c6695b438980783754f7db28129ec2fbb3e6e21,2902,ROUGE-L,0.31446540880503143
Lead-3,2cf8c2d1d2ceb1980249f77e703f9039e63799d0,2925,ROUGE-L,0.3384615384615385
Lead-3,2cfc33d01364162579f46b2764914a03a29453ce,2926,ROUGE-L,0.16176470588235295
Lead-3,2feca9acf532e33f1ab7442c442c8e19787d8d7b,3046,ROUGE-L,0.2654867256637168
Lead-3,31114653cd606fd3f4b1035f98dedd71f8282cd2,3098,ROUGE-L,0.2900763358778626
Lead-3,36352fd1c61fd0c593ee7b84cbe213aa9b444439,3288,ROUGE-L,0.4755244755244755
Lead-3,3785743303ddb8b594be7c449a37458b99e83812,3338,ROUGE-L,0.29268292682926833
Lead-3,3ba3bde4a1440134bb38ec22ba50db59986b544c,3523,ROUGE-L,0.30357142857142855
Lead-3,4001b252a072ac149c70840b22299cc6cfab3bae,3727,ROUGE-L,0.28248587570621464
Lead-3,46609841ffd23e9c22d1507edf7b176ecc4d834f,3978,ROUGE-L,0.2752293577981651
Lead-3,4a593dc4c7e0b4d09bfdc66bb315c47b54eb15df,4135,ROUGE-L,0.4017094017094018
Lead-3,4e0de0ec6d5b9df174f54d03158de8f30aac861f,4299,ROUGE-L,0.2714285714285714
Lead-3,4f3b35b540ba05f0f82d71a694ec23dde4dc3e01,4340,ROUGE-L,0.41333333333333333
Lead-3,4fb64a2298e18626db776fccf834be87388827e0,4356,ROUGE-L,0.358974358974359
Lead-3,54b857a66cbd8473d6732e5da52d48612e636a37,4573,ROUGE-L,0.25925925925925924
Lead-3,5be0a9584b051175d9f4842a143b76385335d96a,4902,ROUGE-L,0.3194444444444445
Lead-3,632cfdb03aacd90a34a470f6a70b47eee62ec5f0,5202,ROUGE-L,0.34234234234234234
Lead-3,6372eff07fd3d6f578f90d6115e01747edccc095,5218,ROUGE-L,0.40909090909090917
Lead-3,6721edf88c95f480a4db2c63649dbb03736aeadf,5369,ROUGE-L,0.28318584070796465
Lead-3,6c1341bedf92a304318545fbf1aad88651de7909,5558,ROUGE-L,0.2962962962962963
Lead-3,6f027d030f9ca86446dc893f1d10ced4c9a3561f,5687,ROUGE-L,0.3148148148148148
Lead-3,7cba80e83b222801fed8d6f96e8c0aa381c54b28,6221,ROUGE-L,0.2456140350877193
Lead-3,801763443e6c73e3857039f2223798b2b58bef19,6339,ROUGE-L,0.26666666666666666
Lead-3,808a439a5d83fc47baaea934c8779a7ebc62470d,6356,ROUGE-L,0.2280701754385965
Lead-3,81bd721b16cad47dfd8d24baca5b30b006291db2,6403,ROUGE-L,0.23333333333333336
Lead-3,8764fb95bfad8ee849274873a92fb8d6b400eee2,6611,ROUGE-L,0.375
Lead-3,8847383b72167c3f3dd2161b5b091b580c8f4da7,6652,ROUGE-L,0.3225806451612903
Lead-3,8b51a10370a1219137e231192e65b9cd52238ea6,6783,ROUGE-L,0.2711864406779661
Lead-3,8b59fa7715418c4bcc0d50e3caeb239129de453e,6786,ROUGE-L,0.31654676258992803
Lead-3,8bc8f134bc3ceaeec0df8f29e96e13d319717ab8,6802,ROUGE-L,0.38016528925619836
Lead-3,8e6c8aec6808f66ed0342e128a4e146f3ecd627d,6910,ROUGE-L,0.3880597014925373
Lead-3,97bbda7ec22a736cd174b51513c72a6372d13d35,7280,ROUGE-L,0.35036496350364965
Lead-3,998cb27197db1fd299aff3322ac041ba4bf1148f,7348,ROUGE-L,0.163265306122449
Lead-3,9afda3cde191a883d8c166ceb5765eb53205d8f4,7415,ROUGE-L,0.17777777777777776
Lead-3,9b1af0f993d78353ebd56a1b180e882e751527b3,7418,ROUGE-L,0.26086956521739135
Lead-3,9b5a04b9879fe716a2dcd66dd331f99534603c16,7434,ROUGE-L,0.2835820895522388
Lead-3,9beaaf73e4517d5bf1bc284f386485d571da96cf,7449,ROUGE-L,0.38
Lead-3,9d0fcbd873927674d12aafce4ae7754fd591d4e2,7501,ROUGE-L,0.3125
Lead-3,a3b6201aca77b5bdaa5df02d6acee2be66233237,7770,ROUGE-L,0.288
Lead-3,b1f6faac3f406edca1e0cad8cce1319c83e62605,8333,ROUGE-L,0.2631578947368421
Lead-3,b255397ee863bd8faf9def57c0f76769153d905e,8349,ROUGE-L,0.38095238095238093
Lead-3,b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,8486,ROUGE-L,0.37037037037037035
Lead-3,b5bc2ae78441e4ac08fb01823d5fc0f1627c3166,8494,ROUGE-L,0.19393939393939394
Lead-3,bd4684a0f5af5dd6ac88d2fb50f902bd7f10217b,8790,ROUGE-L,0.2608695652173913
Lead-3,c16c9fa34ccae7e2b9e29c3988ccb74974c4b3c0,8973,ROUGE-L,0.3095238095238095
Lead-3,c50d33e9749e7bb484d9b69c4f5fca35a3a50cb5,9106,ROUGE-L,0.336283185840708
Lead-3,c6667409fcdea2c89ba9f0d3a72c50e3967b4b1b,9168,ROUGE-L,0.30769230769230776
Lead-3,cf4ba8f94f2dd5604eb8f8a4e655c10cf0996365,9546,ROUGE-L,0.4153846153846154
Lead-3,d296270ab4a4cf20f2d9c1aae7514687806f2b35,9685,ROUGE-L,0.23703703703703705
Lead-3,d3c9ce137ba24a69253508b3416630465c050ae4,9729,ROUGE-L,0.2608695652173913
Lead-3,d680ebcdcd59fd5ee9b602a06bcd5230c212835b,9847,ROUGE-L,0.35593220338983045
Lead-3,d83b82a9cd504218e604616be3f3c3928e3428b8,9910,ROUGE-L,0.3205128205128205
Lead-3,d89de9c2a76f2665560becfe5d761a4fc62b9926,9921,ROUGE-L,0.22448979591836737
Lead-3,dea0ed2e587495e516ac85056e21a2076a9a993c,10147,ROUGE-L,0.31788079470198677
Lead-3,e06ff0eb7c4fa4416fda84a9a239b15480c5a9d9,10212,ROUGE-L,0.3098591549295775
Lead-3,e428e25bbf8e06643154ce31b7c6fab64c81e857,10364,ROUGE-L,0.26000000000000006
Lead-3,e43eef75de38d246db9d80216ca9f5487215a78b,10368,ROUGE-L,0.2912621359223301
Lead-3,e470f0a87d7513bf880412524332047020422c3f,10378,ROUGE-L,0.3314285714285714
Lead-3,e7d8b6617691ea00d4ddc5fe2b7cbd105ba9a57e,10512,ROUGE-L,0.38235294117647056
Lead-3,e880fda4c25289f8325574246f0f8ed4ff5eb26b,10539,ROUGE-L,0.25
Lead-3,eeef09d26cf30c2124c0399b08eedc6321fe5d20,10813,ROUGE-L,0.3384615384615385
Lead-3,f26d8400ae49b90d109c165d0f44b8f6ca253c08,10940,ROUGE-L,0.2657342657342658
Lead-3,f37fd6e9b6cc18a7132568e307ef3b130931e809,10992,ROUGE-L,0.3092783505154639
Lead-3,f468efac7b3c54f8c42c2c81dff108c52ebe0d7d,11024,ROUGE-L,0.345679012345679
Lead-3,f5fead94ee884800e84a212cc0edc78b11c4ba9f,11089,ROUGE-L,0.396039603960396
Lead-3,fadabe346fe95d33eee71299e6596754768f5246,11293,ROUGE-L,0.31007751937984496
